Review,Sentiment Score,Sentiment Classification
Never coming back overcooked really regret ordering,-0.4754,Negative
Totally ruined my mood tasted like cardboard never going back 😤,-0.2247,Negative
Fantastic pizza! it melted in my mouth absolutely amazing!,0.851,Positive
"So bad, I couldn’t finish it the toppings were soggy it was a complete letdown",-0.5849,Negative
The pizza was perfect definitely worth the price absolutely amazing!,0.9133,Positive
"So bad, I couldn’t finish it overcooked will never order from here again",-0.5849,Negative
Worst pizza I’ve had the toppings were soggy would not recommend to anyone,-0.7359,Negative
So good! definitely worth the price perfect spot for pizza lovers!,0.9434,Positive
Never coming back the toppings were soggy will never order from here again,0.0,Neutral
"Would not recommend there was nothing special about it so bad, honestly.",-0.6789,Negative
Delicious so much flavor I’ll be ordering again,0.5719,Positive
Delicious perfect amount of cheese absolutely amazing!,0.915,Positive
"Overrated lacked seasoning so bad, honestly.",-0.2989,Negative
Really upset with my meal not fresh at all will never order from here again,-0.5934,Negative
The pizza was perfect toppings were fresh highly recommend it!,0.8436,Positive
I love this place so much flavor best pizza around!,0.8737,Positive
Totally recommend tasted amazing absolutely amazing!,0.905,Positive
Overrated overcooked never going back 😤,0.0,Neutral
Really upset with my meal the sauce was awful will never order from here again,-0.7089,Negative
So good! it melted in my mouth can’t wait to come again!,0.5827,Positive
I love this place perfect amount of cheese I’ll be ordering again,0.836,Positive
"Really upset with my meal overcooked so bad, honestly.",-0.6256,Negative
Overrated there was nothing special about it would not recommend to anyone,-0.5216,Negative
Overrated overcooked would give 0 stars if I could 😞,-0.4767,Negative
Worst pizza I’ve had way too much cheese would give 0 stars if I could 😞,-0.802,Negative
"Overrated there was nothing special about it terrible experience, I don’t get the hype",-0.6551,Negative
Never coming back the toppings were soggy never going back 😤,0.0,Neutral
"Really upset with my meal way too much cheese so bad, honestly.",-0.6256,Negative
Really disappointed tasted like cardboard never going back 😤,-0.1604,Negative
"So bad, I couldn’t finish it the crust was soggy would not recommend to anyone",-0.7098,Negative
"Would not recommend the crust was soggy terrible experience, I don’t get the hype",-0.6381,Negative
Really upset with my meal lacked seasoning would give 0 stars if I could 😞,-0.7178,Negative
Not worth the price overcooked will never order from here again,-0.1695,Negative
The pizza was perfect definitely worth the price best pizza around!,0.9151,Positive
Never coming back lacked seasoning horrible experience 😡,-0.5423,Negative
Delicious the sauce was delicious worth every penny,0.8519,Positive
Totally recommend the crust was crispy I’ll definitely be back!,0.6989,Positive
Not worth the price there was nothing special about it really regret ordering,-0.7199,Negative
I love this place the crust was crispy I’ll be ordering again,0.6369,Positive
Not worth the price way too much cheese not worth the hype 😔,-0.2575,Negative
"Overrated overcooked terrible experience, I don’t get the hype",-0.4767,Negative
"Best pizza ever definitely worth the price top-notch pizza, I’m impressed!",0.9041,Positive
Loved it so much flavor delighted with my choice! 🍕,0.8297,Positive
Totally ruined my mood the toppings were soggy horrible experience 😡,-0.7841,Negative
Extremely underwhelming the crust was soggy never going back 😤,0.0,Neutral
Best pizza ever everything was spot on worth every penny,0.7269,Positive
"Not worth the price there was nothing special about it terrible experience, I don’t get the hype",-0.7205,Negative
