Review,Sentiment Score,Sentiment Classification
Never coming back overcooked really regret ordering,0.1,Positive
Totally ruined my mood tasted like cardboard never going back 😤,0.0,Neutral
Fantastic pizza! it melted in my mouth absolutely amazing!,0.625,Positive
"So bad, I couldn’t finish it the toppings were soggy it was a complete letdown",-0.29999999999999993,Negative
The pizza was perfect definitely worth the price absolutely amazing!,0.6833333333333335,Positive
"So bad, I couldn’t finish it overcooked will never order from here again",-0.6999999999999998,Negative
Worst pizza I’ve had the toppings were soggy would not recommend to anyone,-1.0,Negative
So good! definitely worth the price perfect spot for pizza lovers!,0.725,Positive
Never coming back the toppings were soggy will never order from here again,0.0,Neutral
"Would not recommend there was nothing special about it so bad, honestly.",0.08571428571428576,Positive
Delicious so much flavor I’ll be ordering again,0.6,Positive
Delicious perfect amount of cheese absolutely amazing!,0.9166666666666666,Positive
"Overrated lacked seasoning so bad, honestly.",-0.04999999999999993,Neutral
Really upset with my meal not fresh at all will never order from here again,0.02500000000000001,Neutral
The pizza was perfect toppings were fresh highly recommend it!,0.5,Positive
I love this place so much flavor best pizza around!,0.5666666666666667,Positive
Totally recommend tasted amazing absolutely amazing!,0.45,Positive
Overrated overcooked never going back 😤,0.0,Neutral
Really upset with my meal the sauce was awful will never order from here again,-0.4,Negative
So good! it melted in my mouth can’t wait to come again!,1.0,Positive
I love this place perfect amount of cheese I’ll be ordering again,0.75,Positive
"Really upset with my meal overcooked so bad, honestly.",0.03333333333333338,Neutral
Overrated there was nothing special about it would not recommend to anyone,0.35714285714285715,Positive
Overrated overcooked would give 0 stars if I could 😞,0.0,Neutral
Worst pizza I’ve had way too much cheese would give 0 stars if I could 😞,-0.4,Negative
"Overrated there was nothing special about it terrible experience, I don’t get the hype",-0.3214285714285714,Negative
Never coming back the toppings were soggy never going back 😤,0.0,Neutral
"Really upset with my meal way too much cheese so bad, honestly.",0.07500000000000004,Positive
Really disappointed tasted like cardboard never going back 😤,-0.375,Negative
"So bad, I couldn’t finish it the crust was soggy would not recommend to anyone",-0.6999999999999998,Negative
"Would not recommend the crust was soggy terrible experience, I don’t get the hype",-1.0,Negative
Really upset with my meal lacked seasoning would give 0 stars if I could 😞,0.2,Positive
Not worth the price overcooked will never order from here again,-0.15,Negative
The pizza was perfect definitely worth the price best pizza around!,0.7666666666666666,Positive
Never coming back lacked seasoning horrible experience 😡,-0.5,Negative
Delicious the sauce was delicious worth every penny,0.7666666666666666,Positive
Totally recommend the crust was crispy I’ll definitely be back!,0.0,Neutral
Not worth the price there was nothing special about it really regret ordering,0.1357142857142857,Positive
