Review,Sentiment Score,Sentiment Classification
"I think Trump really speaks his mind, but sometimes it causes more division than unity.",0.0,Neutral
"Honestly, I miss the economy under Trump — things just felt stronger back then.",0.6124,Positive
He’s a disaster for democracy; I can't believe people still support him.,-0.34,Negative
"Trump brought energy back into politics, whether you liked him or not.",0.5994,Positive
I wish he would focus more on policies than on picking fights on social media.,0.0,Neutral
"He made a lot of promises, but not enough of them were kept for everyday folks like me.",0.6187,Positive
"Say what you will, but Trump knew how to put America’s interests first.",0.3612,Positive
I’m tired of the chaos and controversy that seems to follow Trump everywhere.,-0.765,Negative
He gave a voice to people who felt ignored for years — that's something you can't deny.,-0.068,Negative
"Every time he opens his mouth, it feels like a new scandal is about to start.",-0.1027,Negative
"I don't trust him, but I also don't trust the current political alternatives much either.",-0.6602,Negative
"His leadership style is aggressive, but some people believe that's what we needed.",-0.0772,Negative
Trump divided this country more than any president I've ever seen in my lifetime.,0.0,Neutral
"When Trump was in office, I felt like America was at least respected on the world stage.",0.6808,Positive
It’s exhausting to keep hearing about Trump every single day — can we move on already?,-0.3612,Negative
"He stood up to China, and for that, I respect him, even if I didn’t agree with everything else.",0.6808,Positive
"I believe Trump only cares about Trump, not about the average American.",0.4588,Positive
"At least under Trump, my small business was thriving — now it’s a struggle.",-0.3182,Negative
"His rhetoric is dangerous and fuels hate, and that’s not what leadership should be about.",-0.7783,Negative
"Trump wasn’t perfect, but he shook up the system, and sometimes that’s exactly what’s needed.",0.1901,Positive
