Review,Sentiment Score,Sentiment Classification
"I think Trump really speaks his mind, but sometimes it causes more division than unity.",0.35,Positive
"Honestly, I miss the economy under Trump — things just felt stronger back then.",0.3,Positive
He’s a disaster for democracy; I can't believe people still support him.,0.0,Neutral
"Trump brought energy back into politics, whether you liked him or not.",0.3,Positive
I wish he would focus more on policies than on picking fights on social media.,0.26666666666666666,Positive
"He made a lot of promises, but not enough of them were kept for everyday folks like me.",-0.1,Negative
"Say what you will, but Trump knew how to put America’s interests first.",0.25,Positive
I’m tired of the chaos and controversy that seems to follow Trump everywhere.,-0.4,Negative
He gave a voice to people who felt ignored for years — that's something you can't deny.,0.0,Neutral
"Every time he opens his mouth, it feels like a new scandal is about to start.",0.13636363636363635,Positive
"I don't trust him, but I also don't trust the current political alternatives much either.",0.06666666666666667,Positive
"His leadership style is aggressive, but some people believe that's what we needed.",0.0,Neutral
Trump divided this country more than any president I've ever seen in my lifetime.,0.5,Positive
"When Trump was in office, I felt like America was at least respected on the world stage.",-0.3,Negative
It’s exhausting to keep hearing about Trump every single day — can we move on already?,-0.2357142857142857,Negative
"He stood up to China, and for that, I respect him, even if I didn’t agree with everything else.",0.0,Neutral
"I believe Trump only cares about Trump, not about the average American.",-0.049999999999999996,Neutral
"At least under Trump, my small business was thriving — now it’s a struggle.",-0.275,Negative
"His rhetoric is dangerous and fuels hate, and that’s not what leadership should be about.",-0.7,Negative
"Trump wasn’t perfect, but he shook up the system, and sometimes that’s exactly what’s needed.",0.625,Positive
