Review,Sentiment Score,Sentiment Classification
Tasted like cardboard with ketchup.,0.0,Neutral
"Solid experience overall, just a bit pricey.",0.0,Neutral
"Solid experience overall, just a bit pricey.",0.0,Neutral
Completely inedible. Never ordering again.,0.1,Positive
Not bad for a quick bite.,0.3416666666666666,Positive
Crust was too hard and burnt.,-0.2916666666666667,Negative
Not bad for a quick bite.,0.3416666666666666,Positive
Awful service and even worse food.,-0.7,Negative
Great flavor but the delivery took a bit longer than expected.,0.35000000000000003,Positive
"Decent, but I've had better.",0.3333333333333333,Positive
Perfect pizza every time. Highly recommend!,0.6,Positive
"Pizza was okay, not bad, but not amazing either.",0.18333333333333326,Positive
"Very good pizza, would definitely order again.",0.45499999999999996,Positive
"Pizza was okay, not bad, but not amazing either.",0.18333333333333326,Positive
Awful service and even worse food.,-0.7,Negative
Not bad for a quick bite.,0.3416666666666666,Positive
Absolutely loved it! Best pizza crust I've ever had.,0.9375,Positive
Not bad for a quick bite.,0.3416666666666666,Positive
Best pizza in town! Will definitely come back.,0.3333333333333333,Positive
"Pizza was okay, not bad, but not amazing either.",0.18333333333333326,Positive
Service was slow and pizza was cold.,-0.45,Negative
Crust was too hard and burnt.,-0.2916666666666667,Negative
Fantastic service and delicious toppings!,0.7,Positive
"Pizza was okay, not bad, but not amazing either.",0.18333333333333326,Positive
Too greasy for my taste.,0.0,Neutral
Awful service and even worse food.,-0.7,Negative
"Average pizza, but great garlic knots!",0.425,Positive
Crust was too hard and burnt.,-0.2916666666666667,Negative
Crust was too hard and burnt.,-0.2916666666666667,Negative
"Really good pizza, but could use more sauce.",0.6,Positive
Best pizza in town! Will definitely come back.,0.3333333333333333,Positive
Crust was too hard and burnt.,-0.2916666666666667,Negative
"Very good pizza, would definitely order again.",0.45499999999999996,Positive
"Not worth the price, honestly. Needs improvement.",0.22499999999999998,Positive
Too greasy for my taste.,0.0,Neutral
Terrible experience. Pizza was cold and soggy.,-0.8,Negative
Absolutely loved it! Best pizza crust I've ever had.,0.9375,Positive
"Pizza was okay, not bad, but not amazing either.",0.18333333333333326,Positive
Completely inedible. Never ordering again.,0.1,Positive
Fantastic service and delicious toppings!,0.7,Positive
Service was slow and pizza was cold.,-0.45,Negative
Too greasy for my taste.,0.0,Neutral
"Really good pizza, but could use more sauce.",0.6,Positive
Terrible experience. Pizza was cold and soggy.,-0.8,Negative
Awful service and even worse food.,-0.7,Negative
"Average pizza, but great garlic knots!",0.425,Positive
Tasted like cardboard with ketchup.,0.0,Neutral
Incredible flavors! The truffle pizza is a must-try.,1.0,Positive
Incredible flavors! The truffle pizza is a must-try.,1.0,Positive
Terrible experience. Pizza was cold and soggy.,-0.8,Negative
Cheese was rubbery. Disappointed.,-0.75,Negative
"Pizza was okay, not bad, but not amazing either.",0.18333333333333326,Positive
Toppings were fresh and delicious!,0.65,Positive
Toppings were fresh and delicious!,0.65,Positive
Cheese was rubbery. Disappointed.,-0.75,Negative
Fantastic service and delicious toppings!,0.7,Positive
Perfect pizza every time. Highly recommend!,0.6,Positive
Great flavor but the delivery took a bit longer than expected.,0.35000000000000003,Positive
"Average pizza, but great garlic knots!",0.425,Positive
Not bad for a quick bite.,0.3416666666666666,Positive
Cheese was rubbery. Disappointed.,-0.75,Negative
Worst pizza I've ever had.,-1.0,Negative
Incredible flavors! The truffle pizza is a must-try.,1.0,Positive
Worst pizza I've ever had.,-1.0,Negative
Awful service and even worse food.,-0.7,Negative
Terrible experience. Pizza was cold and soggy.,-0.8,Negative
Crust was too hard and burnt.,-0.2916666666666667,Negative
Best pizza in town! Will definitely come back.,0.3333333333333333,Positive
"Not worth the price, honestly. Needs improvement.",0.22499999999999998,Positive
Great flavor but the delivery took a bit longer than expected.,0.35000000000000003,Positive
Terrible experience. Pizza was cold and soggy.,-0.8,Negative
"Very good pizza, would definitely order again.",0.45499999999999996,Positive
"Really good pizza, but could use more sauce.",0.6,Positive
Tasted like cardboard with ketchup.,0.0,Neutral
Perfect pizza every time. Highly recommend!,0.6,Positive
"It was fine, nothing special though.",0.3869047619047619,Positive
Best pizza in town! Will definitely come back.,0.3333333333333333,Positive
Best pizza in town! Will definitely come back.,0.3333333333333333,Positive
Great flavor but the delivery took a bit longer than expected.,0.35000000000000003,Positive
"Solid experience overall, just a bit pricey.",0.0,Neutral
Fantastic service and delicious toppings!,0.7,Positive
Fantastic service and delicious toppings!,0.7,Positive
Toppings were fresh and delicious!,0.65,Positive
Fantastic service and delicious toppings!,0.7,Positive
Incredible flavors! The truffle pizza is a must-try.,1.0,Positive
"Solid experience overall, just a bit pricey.",0.0,Neutral
"It was fine, nothing special though.",0.3869047619047619,Positive
Incredible flavors! The truffle pizza is a must-try.,1.0,Positive
Worst pizza I've ever had.,-1.0,Negative
"Pizza was okay, not bad, but not amazing either.",0.18333333333333326,Positive
Not bad for a quick bite.,0.3416666666666666,Positive
"Pizza was okay, not bad, but not amazing either.",0.18333333333333326,Positive
Absolutely loved it! Best pizza crust I've ever had.,0.9375,Positive
Crust was too hard and burnt.,-0.2916666666666667,Negative
"Really good pizza, but could use more sauce.",0.6,Positive
"Decent, but I've had better.",0.3333333333333333,Positive
"Solid experience overall, just a bit pricey.",0.0,Neutral
"Solid experience overall, just a bit pricey.",0.0,Neutral
Absolutely loved it! Best pizza crust I've ever had.,0.9375,Positive
Completely inedible. Never ordering again.,0.1,Positive
